jump_rate,method,param,mae,ci_lo,ci_hi,n_valid
0.0,MLE,theta,0.028296957549266276,0.025138901052828965,0.03148786450010945,200
0.0,MLE,sigma,0.04680637893907568,0.04219935639725064,0.05143683162258377,200
0.0,t-MLE,theta,0.029264279311439215,0.026111330493983724,0.032797599708369235,200
0.0,t-MLE,sigma,0.14483362023531432,0.13845173466982033,0.15099690498332677,200
0.0,t-MLE(df*),theta,0.028545068536128027,0.02528081678443328,0.0318592523356272,200
0.0,t-MLE(df*),sigma,0.043191832977730264,0.03879079819189754,0.04798597142385752,200
0.0,LSTM,theta,0.020673357727099207,0.019007632795283575,0.022360648512612095,200
0.0,LSTM,sigma,0.05343826532678138,0.047530321624717244,0.05996256760839786,200
0.0,LSTM-robust,theta,0.021545049249194568,0.019945810099439697,0.02321392913076096,200
0.0,LSTM-robust,sigma,0.06355584072534456,0.05677337739385415,0.06998352980532167,200
0.02,MLE,theta,0.39625858825753096,0.36574576201668874,0.43131365774763764,200
0.02,MLE,sigma,2.0300921043890487,1.8710593856577913,2.198156431037304,200
0.02,t-MLE,theta,0.04242349615468638,0.038330420753727376,0.04685208204624925,200
0.02,t-MLE,sigma,0.05263899724612529,0.04712157521923297,0.05847979018948674,200
0.02,t-MLE(df*),theta,0.03943025886314077,0.035193922439447176,0.04367483623937542,200
0.02,t-MLE(df*),sigma,0.14352288737766647,0.13470580547524696,0.15203579174111229,200
0.02,LSTM,theta,0.04530749283726327,0.03910910219935817,0.051776120142507126,200
0.02,LSTM,sigma,0.5995670460623931,0.5443311129515883,0.6656170238741427,200
0.02,LSTM-robust,theta,0.02146723174136132,0.019863307486257982,0.023164834314098118,200
0.02,LSTM-robust,sigma,0.07465686042996804,0.06743964337650196,0.08175006045331343,200
0.05,MLE,theta,0.9145970417607546,0.8685740139097586,0.960761776039949,200
0.05,MLE,sigma,4.635134683463086,4.394119559278013,4.866248828166288,200
0.05,t-MLE,theta,0.08521008206707242,0.07753623341231086,0.0935300611419566,200
0.05,t-MLE,sigma,0.20521956678427533,0.19380310666316333,0.21710982858974448,200
0.05,t-MLE(df*),theta,0.06772304582273302,0.06009690016803607,0.07565722077320684,200
0.05,t-MLE(df*),sigma,0.06456065260687115,0.058235431203324924,0.0713564801710488,200
0.05,LSTM,theta,0.1299826039273292,0.11991416806738009,0.13982635004935784,200
0.05,LSTM,sigma,1.525933440261538,1.416572990334642,1.6355216850818077,200
0.05,LSTM-robust,theta,0.022490886832959953,0.020640131738299976,0.024466698970312718,200
0.05,LSTM-robust,sigma,0.08478466209273958,0.07665516055503185,0.09335070921304896,200
0.1,MLE,theta,2.0255726847160065,1.6450573622491826,2.51505792424149,200
0.1,MLE,sigma,8.741328799630107,8.107171575891956,9.475482915565495,200
0.1,t-MLE,theta,0.4489695341487279,0.398915356500759,0.5053359003365688,200
0.1,t-MLE,sigma,1.4054722363749221,1.2979051411319127,1.524947513346992,200
0.1,t-MLE(df*),theta,0.12537659245002022,0.1159876593916279,0.1352631426312574,200
0.1,t-MLE(df*),sigma,0.2926043332041619,0.27573286710661976,0.31063391130043494,200
0.1,LSTM,theta,0.25437880157977344,0.24492888630619042,0.26448199051292615,200
0.1,LSTM,sigma,2.8780467469440874,2.725845074214578,3.036569438008101,200
0.1,LSTM-robust,theta,0.02331715085264295,0.020972292147628028,0.025768233873525167,200
0.1,LSTM-robust,sigma,0.09766343051344242,0.08546920990537074,0.1099669244985901,200
