jump_rate,method,theta_mae,theta_rmse,sigma_mae,sigma_rmse,n_valid
0.0,MLE,0.0297977179002911,0.0353249947716069,0.03989873879098891,0.04775914487519651,10
0.0,t-MLE,0.03419678423999237,0.0380644658686523,0.15271160102189799,0.1600216159586637,10
0.0,LSTM,0.01747520880028606,0.02044309099016074,0.038849112446058556,0.05074260331657382,10
0.02,MLE,0.3710035068501346,0.4512474932556758,1.9271008180234765,2.4247528990302665,10
0.02,t-MLE,0.048185600658631825,0.055608505288246034,0.06014343661281864,0.07473788306495972,10
0.02,LSTM,0.041248277194798,0.05674554909593883,0.44375376104632647,0.4808464217466987,10
0.05,MLE,1.037850261284948,1.1265306619885485,5.312212149680188,5.684304991080969,10
0.05,t-MLE,0.09484194068203718,0.11379276370963463,0.22358259896292396,0.24139876199074278,10
0.05,LSTM,0.1291802723724395,0.1401707574222073,1.7737413568446165,1.9554896640355297,10
0.1,MLE,1.7824689148692747,1.8716184474331088,8.586735355513504,9.144976169026535,10
0.1,t-MLE,0.3987343882623695,0.50541900824109,1.1870750313777685,1.2653726168586674,10
0.1,LSTM,0.2875701451003551,0.29084350041647483,3.099687546051955,3.3736974615367306,10
